search_id,user_id,search_query,search_date,clicked_result_position,location_country
225,02800,action movies,2025-12-14,,USA
226,08308,christmas movies,2025-11-04,,USA
227,04510,classic movies,2024-08-17,,USA
228,01994,romantic comedies,2025-05-03,,USA
229,04776,trending now,2025-09-14,,USA
230,07657,true crime,2025-01-17,,USA
231,04903,netflix originals,2024-11-02,,USA
232,07788,travel documentaries,2024-09-19,,USA
233,06430,action movies,2025-08-03,,USA
234,09136,trending now,2024-03-27,,USA
235,08797,classic movies,2024-09-22,,Canada
236,03495,netflix originals,2025-10-29,,USA
237,09134,horror movies,2025-06-09,,USA
238,04054,halloween movies,2025-03-14,,Canada
239,07707,cooking shows,2024-01-25,,Canada
240,07516,romantic comedies,2024-01-18,,Canada
241,01481,sci-fi,2024-01-25,,USA
242,03664,music documentaries,2024-02-15,,USA
243,00482,animated shows,2025-08-25,,Canada
244,07023,best movies 2024,2024-09-11,,USA
245,00301,documentaries,2024-03-11,,Canada
246,09661,drama series,2025-01-30,,USA
247,01610,movies like stranger things,2025-11-03,,Canada
248,03239,classic movies,2025-09-07,,USA
249,08766,netflix originals,2025-07-25,,USA
250,08226,thriller series,2025-04-28,,USA
251,05389,shows with strong female leads,2024-05-24,,USA
252,04458,thriller series,2025-04-29,,USA
253,00053,classic movies,2025-12-24,,USA
254,01886,netflix originals,2025-04-05,,USA
255,05782,korean drama,2024-08-29,,USA
256,06376,halloween movies,2025-04-19,,Canada
257,01655,new releases,2025-12-24,,Canada
258,08878,travel documentaries,2024-12-24,,USA
259,04427,shows with strong female leads,2024-06-07,,USA
260,01834,thriller series,2025-08-17,,Canada
261,03222,new releases,2024-07-14,,USA
262,02962,thriller series,2025-11-01,,Canada
263,08552,halloween movies,2025-12-02,,USA
264,09240,classic movies,2024-08-09,,Canada
265,07623,travel documentaries,2025-10-31,,USA
266,08748,cooking shows,2025-07-07,,USA
267,00957,true crime,2025-01-05,,USA
268,01862,new releases,2024-02-28,,USA
269,00856,family movies,2025-01-01,,USA
270,02271,action movies,2024-11-30,,USA
271,09924,horror movies,2025-11-03,,USA
272,04926,travel documentaries,2024-01-02,,USA
273,04455,music documentaries,2024-12-01,,Canada
274,06540,animated shows,2025-09-28,,USA
275,02864,korean drama,2025-06-05,,USA
276,01642,new releases,2025-06-16,,USA
277,07654,classic movies,2024-08-22,,USA
278,07222,halloween movies,2024-10-20,,USA
279,08816,superhero movies,2025-03-20,,USA
280,04848,comedy shows,2024-11-08,,USA
281,08926,animated shows,2024-07-11,,USA
282,04911,classic movies,2025-12-26,,USA
283,08470,cooking shows,2024-09-12,,USA
284,08972,comedy shows,2024-09-29,,USA
285,06892,short episodes under 30 minutes,2024-05-28,,USA
286,03621,true crime,2024-09-16,,USA
287,02218,family movies,2024-10-31,,USA
288,02909,animated shows,2024-10-03,,USA
289,03104,music documentaries,2024-10-20,,Canada
290,00135,travel documentaries,2024-05-06,,USA
291,02597,music documentaries,2025-01-12,,Canada
292,09648,romantic comedies,2024-07-20,,USA
293,04160,movies like stranger things,2025-08-08,,Canada
294,03234,travel documentaries,2024-02-27,,Canada
295,05137,halloween movies,2024-10-23,,USA
296,02571,family movies,2025-04-06,,USA
297,07273,travel documentaries,2025-04-01,,USA
298,01698,animated shows,2025-05-23,,USA
299,03908,animated shows,2024-12-22,,USA
300,00486,documentaries,2025-10-10,,USA
301,08132,thriller series,2024-03-23,,USA
302,00036,comedy shows,2024-11-02,,USA
303,01013,comedy shows,2025-06-20,,Canada
304,06469,netflix originals,2025-09-19,,USA
305,04169,new releases,2025-11-03,,USA
306,07858,true crime,2024-01-09,,USA
307,06468,horror movies,2025-02-14,,USA
308,00045,trending now,2025-03-28,,USA
309,00265,stand up comedy,2024-07-16,,USA
310,08714,family movies,2024-01-25,,Canada
311,02293,war movies,2024-09-03,,USA
312,08793,cooking shows,2024-05-24,,USA
313,09123,stand up comedy,2025-02-06,,USA
314,06435,travel documentaries,2025-05-14,,Canada
315,02185,korean drama,2025-09-03,,USA
316,00073,animated shows,2025-03-03,,USA
317,07365,true crime,2024-06-11,,Canada
318,06041,war movies,2024-11-23,,USA
319,02668,biographies,2024-09-11,,USA
320,00516,biographies,2025-01-23,,Canada
321,05296,romantic comedies,2025-06-30,,USA
322,00767,comedy shows,2025-01-16,,USA
323,01331,movies like stranger things,2025-05-11,,USA
324,09839,comedy shows,2025-01-03,,USA
325,09956,sci-fi,2024-08-29,,USA
326,05818,stand up comedy,2025-08-03,,Canada
327,08387,netflix originals,2024-09-23,,USA
328,02933,travel documentaries,2025-11-12,,Canada
329,00899,thriller series,2025-07-04,,Canada
330,09667,classic movies,2025-11-07,,USA
331,03451,series with only one season,2024-06-27,,USA
332,08018,christmas movies,2025-01-17,,Canada
333,02247,family movies,2025-03-26,,USA
334,01296,biographies,2024-03-20,,USA
335,09315,drama series,2025-03-24,,Canada
336,02876,movies based on true stories,2025-06-15,,USA
337,05908,romantic comedies,2024-05-23,,USA
338,02857,christmas movies,2024-11-17,,Canada
339,01003,movies based on true stories,2025-04-08,,Canada
340,09972,true crime,2024-04-30,,USA
341,01507,sci-fi,2024-10-10,,Canada
342,07429,family movies,2025-05-15,,USA
343,07951,trending now,2025-04-19,,USA
344,05238,biographies,2024-12-13,,USA
345,06152,family movies,2025-06-24,,USA
346,07306,trending now,2024-08-22,,USA
347,01376,horror movies,2024-07-04,,Canada
348,08386,comedy shows,2025-07-08,,USA
349,07935,action movies,2024-01-31,,Canada
350,04898,action movies,2025-05-20,,Canada
351,09284,action movies,2025-04-13,,USA
352,08832,classic movies,2025-07-08,,Canada
353,07889,true crime,2024-06-28,,Canada
354,00397,christmas movies,2025-09-19,,USA
355,03339,halloween movies,2024-11-27,,USA
356,00448,korean drama,2024-12-10,,USA
357,05704,halloween movies,2025-09-16,,USA
358,07885,superhero movies,2024-03-26,,USA
359,06229,classic movies,2024-10-09,,Canada
360,03233,horror movies,2025-09-19,,Canada
361,03886,family movies,2024-10-31,,USA
362,05982,award winning documentaries,2025-09-12,,USA
363,08856,movies based on true stories,2024-12-29,,USA
364,04128,new releases,2024-03-28,,USA
365,02217,travel documentaries,2024-08-18,,USA
366,06425,documentaries,2024-08-14,,USA
367,01409,animated shows,2024-03-09,,USA
368,00528,animated shows,2024-03-22,,Canada
369,07684,new releases,2024-09-29,,USA
370,05747,superhero movies,2024-10-29,,Canada
371,00026,netflix originals,2024-12-08,,USA
372,07185,christmas movies,2025-12-12,,USA
373,00717,romantic comedies,2024-07-08,,Canada
374,09097,stand up comedy,2025-06-08,,USA
375,02904,war movies,2024-12-29,,USA
376,08288,award winning documentaries,2024-10-07,,Canada
377,05886,stand up comedy,2024-12-08,,USA
378,09474,comedy shows,2024-08-21,,USA
379,05758,animated shows,2025-09-13,,USA
380,00687,romantic comedies,2025-09-20,,USA
381,04101,thriller series,2024-08-25,,Canada
382,03653,romantic comedies,2025-04-27,,USA
383,07926,trending now,2024-07-03,,USA
384,07999,superhero movies,2025-06-09,,USA
385,06315,christmas movies,2025-05-05,,USA
386,00584,trending now,2025-06-21,,USA
387,02412,movies like stranger things,2025-07-11,,Canada
388,05016,cooking shows,2024-01-20,,USA
389,09983,superhero movies,2025-08-31,,USA
390,07182,true crime,2025-04-29,,USA
391,05765,music documentaries,2025-03-04,,USA
392,08018,travel documentaries,2025-12-15,,USA
393,05677,christmas movies,2024-09-25,,USA
394,06069,series with only one season,2025-11-05,,Canada
395,03936,romantic comedies,2024-06-13,,Canada
396,06021,romantic comedies,2025-05-11,,Canada
397,08681,biographies,2025-06-03,,Canada
398,02281,superhero movies,2024-09-15,,USA
399,01386,drama series,2025-06-10,,USA
400,02974,movies based on true stories,2025-04-20,,USA
401,02969,classic movies,2024-02-16,,USA
402,03311,korean drama,2025-07-16,,Canada
403,06017,action movies,2024-11-22,,USA
404,02979,war movies,2025-02-09,,USA
405,06714,thriller series,2024-11-30,,USA
406,02799,true crime,2024-09-26,,Canada
407,07057,trending now,2024-05-05,,Canada
408,09942,best movies 2024,2024-11-05,,USA
409,09320,thriller series,2025-08-12,,USA
410,06487,new releases,2025-11-13,,USA
411,03425,christmas movies,2025-10-05,,USA
412,05487,shows with strong female leads,2024-07-12,,Canada
413,05805,horror movies,2025-09-02,,USA
414,08071,war movies,2025-06-21,,Canada
415,04186,animated shows,2024-12-30,,USA
416,03926,christmas movies,2025-03-11,,USA
417,09627,music documentaries,2025-04-01,,Canada
418,04622,romantic comedies,2025-11-02,,Canada
419,08676,comedy shows,2025-08-19,,Canada
420,04644,action movies,2025-03-31,,Canada
421,07087,classic movies,2024-06-12,,USA
422,04355,new releases,2025-10-13,,Canada
423,08944,true crime,2024-02-06,,USA
424,00433,classic movies,2024-10-22,,USA
425,04648,biographies,2025-12-17,,USA
426,01172,action movies,2025-12-26,,USA
427,09571,new releases,2024-02-12,,USA
428,02335,halloween movies,2024-08-30,,USA
429,04366,action movies,2025-04-12,,USA
430,05480,war movies,2025-05-20,,USA
431,06328,animated shows,2024-07-27,,USA
432,05754,superhero movies,2025-05-17,,USA
433,08243,drama series,2025-03-21,,USA
434,07824,stand up comedy,2024-12-30,,USA
435,08138,short episodes under 30 minutes,2024-04-01,,USA
436,03104,classic movies,2025-07-10,,USA
437,08744,halloween movies,2024-09-05,,USA
438,01187,stand up comedy,2025-07-20,,Canada
439,06979,horror movies,2024-02-10,,USA
440,03786,documentaries,2024-08-30,,USA
441,08741,documentaries,2024-01-17,,USA
442,07364,romantic comedies,2025-07-17,,USA
443,09775,true crime,2025-04-20,,USA
444,03318,animated shows,2024-07-04,,USA
445,08094,stand up comedy,2025-07-19,,Canada
446,00851,christmas movies,2025-05-30,,USA
447,04084,horror movies,2024-03-17,,USA
448,08515,action movies,2025-05-04,,Canada
449,06110,comedy shows,2025-04-08,,USA
450,08108,documentaries,2025-08-18,,USA
451,01020,travel documentaries,2025-08-20,,USA
452,06001,thriller series,2025-03-30,,Canada
453,01985,shows with strong female leads,2025-02-26,,USA
454,03501,documentaries,2025-12-11,,Canada
455,00407,movies based on true stories,2024-02-17,,Canada
456,01918,classic movies,2025-05-09,,USA
457,09608,classic movies,2025-09-25,,USA
458,00652,sci-fi,2025-04-08,,Canada
459,09225,horror movies,2024-10-17,,USA
460,01972,new releases,2024-03-27,,USA
461,08051,drama series,2025-06-07,,Canada
462,06200,sci-fi,2025-07-13,,USA
463,08659,new releases,2024-03-18,,USA
464,06872,sci-fi,2024-02-23,,Canada
465,05713,drama series,2024-08-05,,Canada
466,03576,movies based on true stories,2025-08-27,,USA
467,09690,animated shows,2024-06-12,,Canada
468,05159,netflix originals,2024-07-24,,USA
469,04125,war movies,2025-03-21,,Canada
470,08047,shows with strong female leads,2024-08-29,,USA
471,09334,animated shows,2024-04-05,,USA
472,06663,classic movies,2025-03-24,,USA
473,06466,trending now,2025-02-14,,Canada
474,06545,shows with strong female leads,2025-10-02,,USA
475,03570,korean drama,2024-07-19,,USA
476,07185,classic movies,2024-04-05,,USA
477,00370,thriller series,2024-12-07,,USA
478,04482,animated shows,2024-04-17,,USA
479,09149,shows with strong female leads,2024-10-23,,USA
480,07826,stand up comedy,2025-09-23,,Canada
481,06570,animated shows,2025-06-20,,Canada
482,08656,series with only one season,2025-11-03,,USA
483,09972,biographies,2025-06-13,,Canada
484,02721,stand up comedy,2025-04-23,,USA
485,05854,animated shows,2024-05-06,,USA
486,06019,sci-fi,2024-10-06,,USA
487,07566,new releases,2024-04-06,,Canada
488,02804,horror movies,2025-10-09,,USA
489,04416,christmas movies,2025-03-25,,USA
490,08083,biographies,2025-07-19,,USA
491,09576,horror movies,2024-12-20,,USA
492,03804,comedy shows,2025-03-05,,USA
493,07907,sci-fi,2024-06-26,,USA
494,05080,christmas movies,2024-12-10,,USA
495,03406,award winning documentaries,2024-11-21,,Canada
496,03031,netflix originals,2025-01-25,,USA
497,09755,cooking shows,2024-05-06,,Canada
498,09754,thriller series,2025-08-06,,USA
499,09206,superhero movies,2025-06-28,,USA
500,07255,romantic comedies,2024-08-15,,USA
501,02066,trending now,2025-06-02,,USA
502,03551,stand up comedy,2025-01-04,,USA
503,02818,romantic comedies,2025-09-12,,Canada
504,08957,trending now,2025-12-13,,USA
505,08627,documentaries,2025-07-23,,Canada
506,00932,trending now,2025-09-29,,Canada
507,06336,christmas movies,2025-01-20,,Canada
508,07753,best movies 2024,2024-02-21,,USA
509,09876,superhero movies,2024-03-18,,USA
510,09966,drama series,2024-10-25,,USA
511,00786,halloween movies,2024-07-03,,Canada
512,00254,drama series,2025-09-20,,USA
513,09803,new releases,2025-05-31,,USA
514,07375,christmas movies,2024-06-24,,Canada
515,07036,biographies,2025-02-04,,Canada
516,04304,romantic comedies,2025-08-15,,USA
517,00460,classic movies,2024-04-29,,USA
518,09078,superhero movies,2025-02-18,,USA
519,03080,netflix originals,2025-12-08,,Canada
520,00389,best movies 2024,2024-05-30,,USA
521,06884,documentaries,2025-12-13,,USA
522,02466,travel documentaries,2024-06-10,,USA
523,07296,family movies,2024-01-25,,USA
524,01688,biographies,2024-07-05,,USA
525,07774,sci-fi,2025-08-12,,USA
526,01607,korean drama,2025-05-12,,Canada
527,05793,cooking shows,2024-10-25,,Canada
528,06255,war movies,2024-12-11,,Canada
529,04414,christmas movies,2024-06-09,,USA
530,03743,netflix originals,2024-11-29,,USA
531,03869,korean drama,2025-07-31,,USA
532,05847,trending now,2025-11-16,,USA
533,01683,travel documentaries,2025-03-19,,USA
534,06056,war movies,2025-10-28,,USA
535,06689,romantic comedies,2024-08-30,,USA
536,04201,animated shows,2025-07-13,,Canada
537,07867,netflix originals,2024-04-11,,Canada
538,08587,travel documentaries,2024-08-08,,USA
539,02696,true crime,2025-09-04,,Canada
540,08233,cooking shows,2025-08-16,,USA
541,04081,family movies,2024-11-28,,Canada
542,09175,sci-fi,2025-04-17,,USA
543,01370,christmas movies,2025-09-18,,USA
544,05757,trending now,2025-01-09,,USA
545,02118,superhero movies,2024-08-22,,USA
546,08704,music documentaries,2025-03-18,,USA
547,01455,drama series,2024-10-26,,Canada
548,03596,christmas movies,2025-07-11,,USA
549,09460,trending now,2025-11-24,,USA
550,06487,short episodes under 30 minutes,2024-04-03,,USA
551,08131,family movies,2025-04-21,,Canada
552,03728,true crime,2024-01-17,,USA
553,01873,stand up comedy,2025-08-07,,USA
554,07863,classic movies,2025-06-26,,USA
555,02786,travel documentaries,2024-07-14,,USA
556,07861,korean drama,2024-03-24,,Canada
557,00454,horror movies,2025-07-14,,USA
558,08959,travel documentaries,2025-12-30,,USA
559,06598,short episodes under 30 minutes,2024-01-16,,Canada
560,01021,horror movies,2024-04-09,,Canada
561,04023,romantic comedies,2024-03-04,,Canada
562,01741,cooking shows,2025-03-29,,Canada
563,04396,music documentaries,2025-06-13,,USA
564,09335,superhero movies,2025-08-19,,USA
565,06572,superhero movies,2025-10-29,,USA
566,07871,travel documentaries,2024-06-12,,USA
567,00681,romantic comedies,2025-04-26,,USA
568,06562,true crime,2025-07-21,,USA
569,09566,action movies,2025-01-15,,USA
570,06714,comedy shows,2024-06-20,,USA
571,03543,biographies,2025-04-30,,USA
572,05253,classic movies,2024-10-01,,USA
573,03280,horror movies,2024-09-25,,Canada
574,05018,christmas movies,2024-11-12,,Canada
575,09128,war movies,2024-06-22,,USA
576,04913,animated shows,2025-09-14,,USA
577,01863,halloween movies,2025-04-14,,Canada
578,08601,superhero movies,2025-06-30,,Canada
579,01107,biographies,2024-11-09,,USA
580,07111,animated shows,2024-09-05,,USA
581,02983,travel documentaries,2024-05-13,,Canada
582,06091,documentaries,2024-09-30,,Canada
583,05676,comedy shows,2025-02-05,,USA
584,02638,korean drama,2025-01-16,,Canada
585,09074,movies like stranger things,2025-05-01,,USA
586,09765,drama series,2024-06-05,,Canada
587,09019,netflix originals,2025-09-17,,USA
588,08332,new releases,2025-06-03,,USA
589,03546,stand up comedy,2024-05-30,,Canada
590,08480,drama series,2025-01-21,,Canada
591,06736,biographies,2024-08-04,,USA
592,02448,netflix originals,2025-02-24,,USA
593,05188,comedy shows,2025-05-12,,USA
594,04520,cooking shows,2025-03-27,,USA
595,00410,biographies,2025-02-26,,Canada
596,08102,music documentaries,2024-09-10,,USA
597,01202,movies like stranger things,2025-10-25,,USA
598,07343,stand up comedy,2024-05-10,,USA
599,03586,movies based on true stories,2024-09-29,,Canada
600,03567,sci-fi,2025-11-21,,USA
601,07323,new releases,2025-03-31,,USA
602,01514,new releases,2025-04-04,,USA
603,05551,documentaries,2025-06-01,,USA
604,00771,horror movies,2025-12-09,,USA
605,03610,series with only one season,2024-09-17,,USA
606,07900,cooking shows,2024-09-19,,USA
607,09595,award winning documentaries,2024-06-28,,USA
608,01918,sci-fi,2024-07-15,,Canada
609,07429,comedy shows,2024-09-15,,USA
610,05022,classic movies,2024-10-03,,USA
611,07430,travel documentaries,2025-10-11,,Canada
612,09924,documentaries,2025-10-02,,Canada
613,09951,netflix originals,2025-09-24,,USA
614,03039,best movies 2024,2025-10-24,,Canada
615,00062,sci-fi,2024-09-02,,Canada
616,08635,stand up comedy,2025-02-21,,USA
617,03677,thriller series,2025-04-20,,USA
618,04470,romantic comedies,2025-09-28,,USA
619,04781,superhero movies,2025-03-08,,USA
620,01512,drama series,2025-12-04,,Canada
621,04766,movies based on true stories,2025-01-30,,Canada
622,02549,horror movies,2024-05-21,,Canada
623,06606,movies like stranger things,2025-10-03,,USA
624,02450,new releases,2025-05-08,,Canada
625,00778,stand up comedy,2025-09-13,,USA
626,05278,sci-fi,2025-05-07,,USA
627,03196,cooking shows,2024-04-08,,USA
628,08102,action movies,2025-06-24,,USA
629,07014,drama series,2024-03-06,,USA
630,08242,new releases,2025-02-02,,Canada
631,03983,classic movies,2024-04-02,,USA
632,01557,new releases,2024-04-01,,USA
633,04635,documentaries,2025-04-03,,Canada
634,09869,korean drama,2024-03-23,,Canada
635,04372,romantic comedies,2024-10-08,,Canada
636,02122,christmas movies,2025-06-04,,USA
637,08976,cooking shows,2024-07-05,,Canada
638,07731,horror movies,2025-04-29,,USA
