session_id,user_id,movie_id,watch_date,watch_duration_minutes,progress_percentage,location_country,rating
000195,00203,0738,2025-06-08,42.7,34.0,USA,
000196,04219,0963,2025-10-12,170.3,66.8,USA,
000197,08959,0914,2025-10-16,51.2,61.7,Canada,
000198,04390,0485,2024-12-11,41.1,78.8,Canada,
000199,02328,0996,2024-08-05,50.8,83.8,USA,
000200,08005,0829,2024-06-22,38.1,70.4,USA,
000201,02932,0807,2025-12-09,16.9,88.0,USA,
000202,07778,0775,2024-09-30,149.8,59.2,USA,
000203,00198,0087,2025-05-06,55.0,74.3,USA,
000204,07126,0101,2025-01-20,133.9,56.8,USA,5
000205,01931,0380,2025-09-26,7.9,,USA,
000206,06288,0794,2024-05-10,,15.8,USA,
000207,08801,0116,2024-12-22,14.9,90.6,USA,
000208,09340,0847,2025-09-17,,85.4,USA,
000209,04283,0408,2024-07-10,,54.4,Canada,
000210,02512,0212,2025-04-08,68.3,1.5,USA,
000211,09987,0421,2025-01-06,22.5,0.7,USA,
000212,00660,0216,2024-12-02,52.3,11.2,Canada,
000213,02812,0974,2025-12-25,115.9,39.4,Canada,
000214,07099,0509,2024-01-29,106.2,18.2,Canada,
000215,06547,0864,2025-06-15,,13.1,Canada,
000216,09562,0739,2024-05-01,128.8,24.7,USA,
000217,01987,0791,2024-07-17,25.4,,Canada,
000218,08339,0929,2025-05-12,62.7,79.3,Canada,
000219,02912,0386,2025-12-21,8.8,23.1,USA,
000220,01735,0764,2024-05-23,34.9,,Canada,
000221,01844,0205,2024-03-29,,60.6,USA,2
000222,08681,0670,2025-02-21,198.8,44.4,USA,
000223,02977,0957,2024-10-05,48.9,27.8,USA,
000224,01960,0994,2025-05-03,20.2,41.8,USA,
000225,05760,0587,2025-05-02,46.5,13.2,USA,
000226,06695,0997,2025-11-13,31.2,74.0,Canada,
000227,02386,0396,2025-07-01,330.6,39.0,USA,
000228,04737,0594,2024-08-03,125.9,45.3,Canada,
000229,01803,0980,2024-09-23,,32.7,Canada,
000230,08156,0305,2025-05-28,22.8,11.7,Canada,
000231,08121,0333,2024-08-15,23.5,7.6,Canada,4
000232,06617,0902,2024-08-11,14.5,71.7,Canada,
000233,05535,0778,2025-08-20,,,Canada,
000234,04062,0957,2024-06-23,85.8,5.6,USA,
000235,00263,0993,2024-12-01,63.4,1.7,USA,3
000236,06288,0434,2024-05-20,106.8,51.1,USA,
000237,08816,0959,2025-03-01,65.9,30.3,USA,
000238,09209,0516,2024-07-05,,26.0,Canada,5
000239,02050,0900,2025-05-22,138.0,39.9,USA,
000240,05424,0873,2024-09-14,28.3,82.6,Canada,
000241,04549,0677,2024-01-15,84.3,70.2,USA,
000242,03109,0746,2025-12-18,99.4,52.7,USA,
000243,07159,0204,2024-12-15,49.6,96.9,USA,1
000244,07401,0884,2025-05-06,104.3,,Canada,4
000245,03171,0965,2025-09-29,54.3,14.7,Canada,1
000246,09875,0951,2025-12-13,14.9,52.9,Canada,
000247,02256,0729,2025-02-24,7.0,12.9,Canada,
000248,01155,0729,2024-01-25,23.5,43.5,USA,
000249,04500,0545,2025-02-28,50.2,87.2,USA,1
000250,06296,0308,2024-07-30,35.0,58.6,Canada,
000251,06198,0447,2024-11-15,88.0,73.8,USA,
000252,09889,0591,2024-09-27,106.9,68.8,USA,3
000253,01649,0980,2025-07-23,44.8,,USA,
000254,05540,0487,2024-12-26,60.1,90.3,USA,
000255,09638,0332,2025-10-02,51.3,55.7,USA,
000256,04200,0462,2024-05-13,,92.3,USA,
000257,08446,0150,2025-09-03,21.5,,USA,
000258,02558,0728,2024-05-03,7.0,83.4,USA,
000259,05593,0460,2024-07-19,73.5,26.2,USA,
000260,00099,0724,2024-02-24,86.9,16.0,USA,
000261,02201,0240,2024-10-28,80.2,,Canada,
000262,02962,0988,2025-08-29,89.5,97.1,USA,
000263,04974,0952,2024-04-08,73.6,,Canada,
000264,04434,0971,2024-10-08,38.8,80.6,USA,
000265,02870,0214,2024-05-02,59.7,96.7,Canada,
000266,00957,0882,2025-03-02,18.7,6.2,Canada,
000267,08353,0353,2025-05-11,33.5,58.3,USA,
000268,05700,0954,2024-08-22,20.4,48.2,USA,
000269,06945,0974,2025-01-20,,57.1,USA,3
000270,04494,0973,2024-10-08,45.8,11.4,USA,
000271,09493,0665,2024-10-24,117.3,33.3,USA,
000272,04912,1000,2025-06-14,,,Canada,4
000273,03988,0720,2024-05-13,75.8,0.4,USA,
000274,09720,0990,2024-12-14,115.6,15.1,USA,
000275,06016,0257,2024-12-07,39.1,21.5,USA,
000276,01219,0540,2025-07-08,68.3,5.9,Canada,
000277,04497,0735,2025-12-18,64.4,43.8,USA,
000278,04736,0612,2025-07-06,43.9,54.2,USA,
000279,04556,0432,2025-11-13,118.2,,USA,4
000280,09147,0365,2025-11-06,27.5,77.3,USA,
000281,08051,0114,2025-09-30,51.3,82.6,USA,
000282,03447,0962,2024-02-05,108.6,60.4,USA,
000283,01046,0311,2024-12-27,52.3,39.6,USA,
000284,06894,0618,2024-05-21,,74.5,Canada,
000285,01694,0357,2025-09-03,62.3,,Canada,
000286,03437,0619,2025-03-14,61.5,67.6,Canada,2
000287,08755,0130,2024-07-19,19.6,16.0,USA,
000288,05896,0929,2024-07-16,46.5,29.5,Canada,2
000289,03355,0305,2024-11-15,31.5,71.1,USA,4
000290,00226,0676,2025-12-27,23.1,,Canada,3
000291,04894,0670,2024-10-14,120.0,47.2,USA,
000292,07023,0244,2024-03-19,22.2,76.1,Canada,
000293,09152,0482,2024-06-26,,,USA,5
000294,05601,0146,2025-05-24,,,USA,
000295,07997,0932,2025-07-23,13.7,30.2,USA,
000296,09008,0640,2025-07-24,107.7,56.0,Canada,5
000297,07684,0024,2025-06-03,27.8,2.5,Canada,
000298,04643,0630,2025-07-02,48.0,46.5,USA,
000299,07680,0129,2025-07-24,70.1,41.6,USA,2
000300,08209,0174,2024-08-15,6.2,77.1,USA,
000301,07340,0536,2024-09-03,96.9,35.7,USA,
000302,09436,0277,2025-04-20,162.5,30.4,Canada,4
000303,02206,0541,2024-06-07,15.9,33.1,USA,
000304,01070,0717,2025-06-22,58.9,17.1,USA,
000305,03445,0576,2024-10-03,,96.3,USA,3
000306,01061,0778,2025-01-01,69.6,89.3,USA,2
000307,02328,0653,2024-11-01,28.4,,Canada,
000308,03421,0395,2025-04-19,79.0,52.9,USA,
000309,00302,0102,2024-04-01,112.1,98.6,USA,
000310,00607,0631,2024-01-08,43.0,86.6,USA,
000311,03171,0186,2025-05-14,42.0,2.8,USA,
000312,00700,0262,2025-07-03,19.2,19.1,USA,
000313,05089,0947,2024-07-30,28.9,79.8,Canada,2
000314,09332,0778,2024-03-16,44.7,20.6,USA,
000315,00191,0960,2025-05-19,30.0,49.0,Canada,
000316,00981,0333,2024-02-01,29.0,83.3,USA,
000317,02976,0368,2024-02-11,14.0,16.7,USA,
000318,06103,0626,2024-03-01,512.5,65.7,Canada,
000319,01185,0931,2024-11-15,40.9,90.7,USA,
000320,03328,0623,2024-11-23,18.7,56.3,Canada,
000321,03395,0982,2024-11-16,,52.8,Canada,
000322,08320,0273,2025-07-04,79.6,80.0,USA,5
000323,01817,0515,2024-08-22,36.4,28.8,USA,
000324,05855,0764,2025-06-23,26.6,46.4,USA,
000325,06710,0768,2024-10-27,20.8,95.9,Canada,
000326,00570,0158,2025-03-11,93.7,,USA,
000327,05443,0482,2025-03-06,98.3,27.5,Canada,
000328,01896,0795,2025-11-25,,44.3,USA,
000329,02734,0173,2024-01-11,,8.6,Canada,
000330,03864,0900,2024-04-23,15.0,10.8,USA,
000331,07456,0417,2024-01-01,29.8,82.1,USA,
000332,04015,0939,2024-01-10,81.1,0.3,USA,
000333,01687,0927,2025-08-29,59.7,99.6,USA,
000334,03010,0787,2025-03-04,107.6,,USA,
000335,07807,0651,2024-11-29,65.2,99.0,USA,
000336,00155,0500,2024-10-18,66.8,20.5,USA,
000337,01410,0549,2024-04-27,39.5,,Canada,5
000338,00785,0847,2024-12-04,19.2,47.5,Canada,
000339,08097,0852,2024-04-23,52.9,,Canada,
000340,07561,0957,2025-10-31,113.8,71.6,USA,3
000341,07344,0869,2024-06-14,62.6,18.1,USA,
000342,07207,0968,2025-02-13,15.3,17.8,USA,
000343,05597,0770,2024-10-03,89.7,,USA,
000344,05802,0742,2024-04-25,,45.4,Canada,3
000345,02807,0690,2025-04-11,54.4,32.1,USA,
000346,00538,0027,2025-08-10,56.6,83.3,USA,
000347,05987,0690,2025-09-28,60.5,65.8,USA,
000348,01842,0206,2024-06-03,10.1,35.7,USA,2
000349,08717,0792,2025-09-02,43.7,45.8,USA,
000350,06972,0611,2024-04-23,112.2,69.4,Canada,
000351,05626,0796,2024-03-16,53.1,2.3,USA,
000352,02951,0824,2024-07-17,51.3,16.1,USA,
000353,07993,0290,2024-07-19,79.8,85.7,USA,
000354,04781,0593,2025-01-10,74.7,81.8,Canada,
000355,02369,0673,2024-07-04,27.0,45.3,USA,5
000356,06656,0535,2024-12-02,67.4,93.6,USA,
000357,08174,0136,2025-12-18,88.2,81.6,Canada,
000358,04496,0767,2024-02-02,82.7,71.6,USA,
000359,09164,0929,2025-01-13,56.8,94.4,USA,
000360,06003,0832,2025-10-23,90.5,,USA,
000361,06615,0636,2024-10-05,14.8,30.0,USA,
000362,09359,0275,2025-08-23,64.1,72.5,USA,
000363,05920,0396,2025-04-14,99.3,52.8,Canada,
000364,00854,0004,2025-11-07,84.2,24.9,USA,
000365,04147,0223,2025-11-20,,93.8,Canada,5
000366,03770,0447,2024-07-23,86.0,54.8,USA,
000367,00575,0172,2024-08-02,,72.6,USA,4
000368,01149,0376,2024-07-05,126.8,93.0,USA,
000369,06294,0119,2024-07-27,102.4,17.2,Canada,
000370,06458,0149,2024-08-31,26.3,79.1,USA,5
000371,07510,0524,2025-09-20,95.3,90.2,USA,
000372,09908,0199,2025-07-13,59.5,9.9,USA,5
000373,04778,0658,2025-09-05,72.5,99.9,Canada,
000374,03855,0295,2024-05-08,49.1,26.0,USA,
000375,02492,0843,2025-12-18,73.8,96.1,USA,4
000376,03125,0545,2025-07-08,,87.4,USA,3
000377,05692,0982,2024-02-16,68.6,75.3,USA,
000378,03052,0456,2024-08-04,94.5,23.7,USA,
000379,00005,0423,2025-09-19,150.0,27.8,Canada,
000380,05223,0159,2025-11-02,164.0,59.7,USA,
000381,05316,0245,2025-05-25,109.9,53.5,USA,1
000382,04870,0795,2025-09-15,60.3,47.9,USA,
000383,00877,0371,2025-12-28,,43.2,Canada,
000384,09184,0732,2024-02-01,114.0,48.4,Canada,
000385,07028,0471,2024-01-14,44.0,100.0,USA,
000386,04143,0681,2024-09-19,33.8,68.7,USA,
000387,06967,0795,2025-12-01,69.1,62.0,USA,
000388,07080,0778,2025-01-14,62.1,42.9,USA,
000389,07988,0407,2025-04-06,22.7,68.4,USA,3
000390,06800,0801,2025-08-16,100.6,18.3,USA,
000391,04466,0410,2024-11-26,133.8,81.9,USA,5
000392,00636,0205,2024-12-24,76.4,43.3,Canada,1
000393,01694,0671,2025-11-11,71.8,73.2,USA,
000394,09875,0155,2025-07-20,7.5,51.6,USA,
000395,04753,0269,2024-03-18,142.1,38.2,USA,
000396,08312,0688,2024-01-24,,,Canada,
000397,00831,0439,2024-09-02,102.1,1.4,Canada,2
000398,05178,0570,2024-09-21,,80.5,Canada,
000399,09562,0765,2025-11-09,16.0,31.3,USA,
000400,08933,0303,2025-04-18,,23.1,USA,
000401,08309,0098,2024-03-17,38.1,39.2,USA,5
000402,05950,0047,2024-03-03,63.9,,Canada,
000403,02839,0967,2025-06-03,7.7,23.7,Canada,
000404,01151,0812,2025-08-13,23.3,16.5,USA,
000405,07561,0204,2025-05-22,104.0,83.1,USA,
000406,01932,0389,2025-11-09,148.3,75.8,USA,
000407,09205,0614,2024-06-20,72.7,67.2,USA,
000408,01665,0006,2024-06-18,167.1,60.5,USA,
000409,01082,0346,2025-05-13,44.2,15.5,USA,
000410,00513,0915,2025-01-21,205.2,2.9,USA,
000411,07806,0463,2025-01-06,33.9,26.3,USA,1
000412,05238,0265,2024-08-23,158.8,,USA,2
000413,00560,0077,2024-02-10,529.7,87.9,USA,4
000414,03673,0547,2025-04-17,5.3,63.7,USA,
000415,07405,0623,2025-04-22,39.3,0.6,USA,3
000416,03344,0930,2025-11-23,45.5,24.1,USA,
000417,04071,0703,2024-12-28,38.9,24.9,USA,
000418,09663,0738,2025-06-21,73.6,25.5,Canada,
000419,00581,0733,2025-05-20,12.7,27.0,Canada,
000420,07005,0487,2024-07-29,119.5,61.0,USA,
000421,08131,0539,2025-10-06,73.8,47.1,USA,4
000422,03148,0814,2024-08-22,60.7,52.6,USA,
000423,04250,0941,2024-08-18,,70.8,USA,
000424,01680,0908,2024-10-15,7.3,97.1,USA,
000425,03507,0807,2025-04-08,23.1,59.1,Canada,
000426,07254,0898,2024-06-27,40.8,17.5,USA,
000427,02745,0943,2025-03-07,13.0,,USA,
000428,09436,0100,2025-11-17,71.0,28.5,USA,2
000429,05189,0896,2024-02-17,10.8,85.3,Canada,1
000430,02142,0309,2025-04-30,35.4,33.2,USA,
000431,06618,0082,2024-11-18,9.2,66.8,USA,
000432,02480,0504,2024-03-27,4.1,45.1,USA,
000433,06485,0006,2024-10-31,,31.0,USA,
000434,09828,0734,2024-01-22,28.1,76.3,USA,
000435,07422,0469,2025-12-06,,68.3,USA,
000436,09950,0952,2025-11-08,52.7,57.5,Canada,3
000437,04453,0534,2024-08-12,25.2,,USA,
000438,05882,0121,2024-11-03,52.4,9.0,USA,
000439,06666,0651,2024-07-11,62.9,97.8,Canada,
000440,02850,0615,2025-10-09,101.3,64.4,Canada,3
000441,07391,0552,2025-12-23,176.8,16.6,Canada,
000442,06906,0810,2025-12-04,19.3,28.6,Canada,
000443,02490,0775,2024-11-01,33.1,15.5,USA,
000444,09824,0839,2024-06-04,11.0,,USA,
000445,09208,0543,2025-07-13,64.6,44.0,Canada,
000446,09541,0568,2025-03-04,69.3,90.3,USA,4
000447,04612,0326,2025-08-21,49.5,79.9,USA,
000448,02840,0090,2024-09-23,51.0,19.5,USA,
000449,08528,0420,2025-01-29,48.8,95.9,USA,
000450,05879,0969,2024-06-16,108.1,26.8,USA,4
000451,09088,0760,2024-12-30,20.9,19.4,Canada,
000452,06304,0932,2025-04-13,26.1,18.5,USA,
000453,00852,0387,2024-09-28,30.4,35.9,USA,
000454,01688,0185,2024-06-16,27.2,,USA,
000455,06834,0620,2024-09-17,51.0,12.8,USA,
000456,02428,0927,2024-10-13,30.7,94.8,USA,
000457,09761,0448,2024-11-29,11.6,48.0,USA,
000458,04001,0501,2025-07-29,9.3,13.9,Canada,
000459,05053,0158,2024-10-28,,39.0,USA,
000460,02739,0991,2024-06-04,,90.7,USA,
000461,05733,0939,2024-05-29,124.3,69.2,USA,4
000462,05388,0424,2024-03-10,35.6,66.4,USA,
000463,08003,0734,2025-01-11,72.5,,USA,
000464,05537,0713,2024-11-27,,,Canada,
000465,03914,0902,2024-05-04,62.6,49.9,USA,
000466,01067,0665,2025-05-01,,73.7,USA,
000467,07724,0350,2024-11-02,78.0,8.7,USA,4
000468,04381,0026,2024-09-09,48.7,83.9,USA,5
000469,04108,0323,2024-05-11,25.2,91.2,USA,
000470,05727,0918,2025-05-20,116.0,61.3,USA,
000471,03374,0938,2024-03-19,63.1,60.4,USA,
000472,08946,0173,2025-10-25,,30.6,USA,
000473,02083,0713,2025-09-25,,44.2,USA,
000474,08968,0370,2025-06-11,77.4,20.9,USA,
000475,06749,0227,2024-12-30,41.6,41.4,USA,
000476,09818,0775,2025-07-07,35.3,47.2,USA,
000477,00418,0805,2025-12-07,32.3,89.4,USA,
000478,08307,0624,2025-01-01,25.9,55.8,USA,
000479,08809,0969,2024-02-29,4.8,50.5,USA,
000480,03975,0091,2024-11-02,6.0,39.0,Canada,
000481,03268,0028,2024-07-28,49.0,,Canada,
000482,00826,0237,2025-10-31,127.4,14.3,Canada,
000483,07669,0876,2025-10-02,95.3,15.8,USA,
000484,05746,0993,2025-10-04,60.2,,USA,
000485,09709,0319,2024-12-28,84.9,73.5,USA,3
000486,00413,0632,2024-05-13,10.4,21.0,Canada,
000487,07544,0123,2024-08-25,51.4,85.5,Canada,
000488,07588,0246,2025-10-30,,21.4,USA,
000489,00729,0573,2024-04-09,29.7,84.3,Canada,
000490,07165,0946,2024-11-01,164.0,52.4,Canada,
000491,08868,0894,2024-09-15,17.6,83.5,USA,4
000492,05989,0134,2024-05-06,49.3,21.2,USA,
000493,02505,0465,2025-01-07,91.5,1.5,Canada,
000494,02968,0320,2024-09-01,,29.5,USA,
000495,02787,0471,2025-09-12,84.1,94.2,Canada,
000496,01123,0345,2025-12-17,,30.8,USA,
000497,04080,0723,2025-06-30,62.1,60.2,USA,
000498,01572,0628,2025-07-28,,1.7,USA,4
000499,05074,0541,2024-09-03,35.1,82.6,Canada,4
